Compania,Orden,Posicion,Entrega,TipoTrans,NumFac,Articulo,FchFac,Cliente
225,183452,10,0,FAT,170806,KS320020994     ,25/09/2020,1021
225,183453,10,0,FAT,171337,KS320020609     ,09/10/2020,333
225,183453,20,0,FAT,171337,KS320120609     ,09/10/2020,333
225,183453,30,0,FAT,171337,KS320220609     ,09/10/2020,333
225,183453,40,0,FAT,171337,KS320320609     ,09/10/2020,333
225,183527,10,0,FAT,170746,KS400020992     ,24/09/2020,44
225,183529,10,0,FAT,170640,BS400020195     ,21/09/2020,44
225,183529,20,0,FAT,170587,BS400020196     ,20/09/2020,44
225,183470,10,0,FAT,170536,KS320015938     ,18/09/2020,871
225,183472,10,0,FAT,170551,KS320017204     ,19/09/2020,871
225,183473,10,0,FAT,170520,KS320017347     ,18/09/2020,871
225,183474,10,0,FAT,170856,KS260019461     ,27/09/2020,871
225,183476,10,0,FAT,171561,KS400020401     ,15/10/2020,8019
225,183478,10,0,FAT,171830,KS320020119     ,22/10/2020,6047
225,183479,10,0,FAT,172057,KS320019035     ,28/10/2020,6047
225,183480,10,0,FAT,171449,KS290020197     ,13/10/2020,6047
225,183481,10,0,FAT,172093,KS320019034     ,29/10/2020,6047
225,183483,10,0,FAT,171897,KD480020189     ,24/10/2020,6047
225,183484,10,0,FAT,172757,KD480020136     ,14/11/2020,6047
225,183485,10,0,FAT,171060,KS440020373     ,02/10/2020,115041
225,183487,10,0,FAT,171416,KS230018058     ,12/10/2020,8019
225,183488,10,0,FAT,170502,KS260020092     ,18/09/2020,990
225,183491,10,0,FAT,171212,KS320020424     ,07/10/2020,6047
225,183492,10,0,FAT,172502,BS400020132     ,09/11/2020,6047
225,183493,10,0,FAT,171390,BS400020132     ,12/10/2020,6047
225,183494,10,0,FAT,172094,KS320020663     ,29/10/2020,6047
225,183495,10,0,FAT,171108,KS320019841     ,04/10/2020,6047
225,183496,10,0,FAT,171213,KD480020929     ,07/10/2020,6047
225,183497,10,0,FAT,171450,KS290019928     ,13/10/2020,6047
225,183498,10,0,FAT,170969,KS290020886     ,30/09/2020,6047
225,183500,10,0,FAT,170825,KS440019872     ,26/09/2020,115041
225,183501,10,0,FAT,170954,KS230019309     ,30/09/2020,262
225,183502,10,0,FAT,171901,KS230018992     ,24/10/2020,262
225,183503,10,0,FAT,170956,KS260019400     ,30/09/2020,262
225,183504,10,0,FAT,170955,KS230019297     ,30/09/2020,262
225,183505,10,0,FAT,170957,KS290019298     ,30/09/2020,262
225,183506,10,0,FAT,171661,KS320019601     ,19/10/2020,115041
225,183506,20,0,FAT,172789,KS320019601     ,16/11/2020,115041
225,183507,10,0,FAT,170893,KS400019055     ,28/09/2020,115041
225,183507,20,0,FAT,171406,KS400019055     ,12/10/2020,115041
225,183508,10,0,FAT,171434,KD420019670     ,12/10/2020,115041
225,183508,20,0,FAT,172125,KD420019670     ,30/10/2020,115041
225,183509,10,0,FAT,170921,KD480016590     ,29/09/2020,696
225,183510,10,0,FAT,172617,010015664       ,11/11/2020,864
225,183510,20,0,FAT,171685,010015664       ,19/10/2020,864
